mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
gdb_110484,OCC1C2C3C4C3N2C14,4.1522,1.30144,1.28565,2.9435,73.48,-0.2206,0.068,0.2886,1032.1364,0.149188,-401.843805,-401.83671,-401.835765,-401.875622,28.162
gdb_59519,CC(C)N1CC2(O)CC12,3.57151,1.05864,0.91649,1.9151,83.22,-0.2031,0.0778,0.2808,1355.5179,0.192384,-404.3002,-404.290625,-404.289681,-404.334092,37.021
gdb_100709,CC(C[NH3+])C(C)C([O-])=O,1.8647,1.42956,0.9034,6.4518,78.47,-0.2383,0.0387,0.277,1351.2924,0.194261,-441.526249,-441.516139,-441.515195,-441.56134,37.768
gdb_125535,Cc1[nH]c2nncn2n1,5.53546,1.33654,1.08389,6.1553,69.36,-0.2341,-0.0088,0.2253,1043.1183,0.103847,-429.057325,-429.050396,-429.049452,-429.088666,26.083
gdb_49633,O=CC1C2NC3C2OC13,3.37315,1.60041,1.39257,3.4683,67.26,-0.2428,-0.0158,0.2269,929.4179,0.125557,-437.821546,-437.814878,-437.813934,-437.853014,26.155
gdb_68293,CC12CN(C1)C21COC1,2.75021,1.47922,1.3491,2.7038,78.63,-0.2351,0.0697,0.3048,1062.833,0.171055,-403.049452,-403.041366,-403.040422,-403.081956,31.509
gdb_103605,CC1NC(C)(CO)C1=O,2.48565,1.27157,1.11839,3.0691,75.72,-0.2396,-0.0319,0.2077,1213.47,0.168977,-440.284413,-440.274534,-440.27359,-440.318951,36.412
gdb_23072,CC1CC2N1CC2=NO,3.39759,1.09945,1.00937,1.3151,79.6,-0.2167,0.0004,0.2172,1248.6657,0.158729,-419.117325,-419.108735,-419.107791,-419.151061,32.724
gdb_37903,C1C2C3C1C1=CCN2C31,3.08564,2.20838,2.03835,1.2091,79.34,-0.1977,-0.0348,0.1629,793.5455,0.150777,-364.68951,-364.683783,-364.682839,-364.719056,25.642
gdb_94606,[NH3+]C1COC1CC([O-])=O,2.18693,0.87904,0.70542,4.8516,73.85,-0.1536,0.0274,0.1809,1603.2737,0.14219,-476.167809,-476.156012,-476.155068,-476.208724,38.288
gdb_118394,CCOC(CC#C)C=O,1.5907,1.28831,0.74409,2.5335,79.0,-0.249,-0.0351,0.2139,1517.2488,0.154299,-422.992826,-422.982147,-422.981203,-423.029862,36.917
gdb_6154,CC1(C)CC(CO)O1,3.98176,1.26144,1.2297,2.6864,71.15,-0.2448,0.0743,0.3191,1102.0012,0.175381,-386.134619,-386.125617,-386.124673,-386.168237,33.503
gdb_81271,CC1C2OC(C2O)C1=O,2.6847,1.48284,1.25477,2.1354,67.83,-0.2376,-0.0278,0.2098,1046.5428,0.135715,-458.948269,-458.940409,-458.939465,-458.980489,30.397
gdb_43452,N=C1NC(=O)NC11CC1,2.97212,1.50927,1.08863,1.4506,72.47,-0.2378,0.0041,0.2419,1076.0769,0.12605,-434.119176,-434.111349,-434.110404,-434.151521,30.171
gdb_114189,CCN1CC2(CO2)C1=O,3.36851,1.08327,0.91846,4.0796,75.65,-0.2468,0.0122,0.259,1312.9704,0.146636,-439.080664,-439.071671,-439.070727,-439.11522,32.048
gdb_61945,CC(CCC#N)CC#C,5.54336,0.58585,0.55208,3.6393,86.28,-0.2703,0.0342,0.3045,1937.8725,0.168468,-366.005017,-365.994502,-365.993557,-366.041386,37.402
gdb_35733,C#CC1CCC2(CC2)C1,3.96833,0.98536,0.8724,0.7248,89.17,-0.2531,0.0581,0.3112,1381.7417,0.182882,-349.925999,-349.917183,-349.916239,-349.960855,34.3
gdb_91521,CC1OC2CC12C(N)=O,2.67097,1.41018,1.10079,3.2184,72.55,-0.2443,0.0179,0.2622,1133.8619,0.146453,-439.082129,-439.073162,-439.072218,-439.115892,33.496
gdb_73299,OC12CCC3(O)C1NC23,2.83782,1.86981,1.31618,2.4271,70.62,-0.235,0.0656,0.3006,961.5872,0.149158,-439.027559,-439.020278,-439.019334,-439.058615,30.46
gdb_122163,CCCCC1(O)CC1C,3.07503,0.71755,0.65269,1.2962,90.23,-0.2481,0.0777,0.3258,1884.4545,0.226545,-389.489004,-389.477782,-389.476838,-389.525681,41.355
gdb_116783,CCN=COC1CC1O,3.71455,0.74806,0.70972,2.3199,79.99,-0.2368,0.0201,0.2569,1688.8135,0.168245,-440.251541,-440.241501,-440.240557,-440.287775,36.097
gdb_5316,CN(C)c1ncco1,4.65096,1.70734,1.27423,1.8192,68.34,-0.193,0.0327,0.2257,939.9648,0.131296,-379.947201,-379.939322,-379.938378,-379.979686,27.883
gdb_22788,COC1CC(O)C1=NO,2.01625,1.41796,1.06746,2.0315,73.22,-0.2467,-0.0172,0.2295,1202.773,0.145295,-476.14218,-476.132668,-476.131724,-476.176858,34.474
gdb_66640,OC12C3C1C1CC3C2C1,3.24424,1.80645,1.65625,1.2696,76.63,-0.2359,0.0746,0.3105,893.8884,0.162618,-385.870455,-385.864105,-385.863161,-385.900624,28.042
gdb_125045,Cc1c(=O)cn[nH]c1N,2.28211,1.88334,1.03987,6.2703,76.35,-0.214,-0.0293,0.1847,1088.571,0.125775,-434.10325,-434.094832,-434.093888,-434.136045,31.532
gdb_95200,CC1C(O)CCC2CN12,2.14111,1.84304,1.31858,2.3512,81.25,-0.2127,0.0605,0.2732,1080.2666,0.195895,-404.332286,-404.323677,-404.322733,-404.364805,34.471
gdb_18872,CC1C2OCC3C2N13,3.20386,2.53305,2.1274,0.5146,66.28,-0.2283,0.0876,0.3159,736.9149,0.144089,-363.813565,-363.807109,-363.806165,-363.843919,25.596
gdb_16725,C#CC1CC2CC2O1,3.83222,1.73827,1.70721,1.5157,68.78,-0.2364,0.0368,0.2731,840.5238,0.130833,-346.551754,-346.544801,-346.543857,-346.58274,27.278
gdb_36761,C#CCOCC#CC#C,6.54728,0.49695,0.46458,1.5109,91.79,-0.248,-0.0289,0.2192,2206.7496,0.107968,-383.375904,-383.365973,-383.365029,-383.41186,34.421
gdb_110692,COC1C2C=CC(=O)C12,2.35929,1.67292,1.30361,2.9605,74.24,-0.239,-0.0513,0.1877,1030.7364,0.136023,-421.826732,-421.818801,-421.817856,-421.859459,29.768
gdb_100221,CCC(O)(CC#N)C#N,2.68779,1.14595,0.96961,6.0591,72.76,-0.3159,-0.0041,0.3118,1259.2575,0.133365,-418.03329,-418.023193,-418.022249,-418.06847,35.48
gdb_35710,C#CC1OCC1C1CO1,2.39939,1.51602,1.08608,3.0569,73.52,-0.2544,0.0187,0.2732,1124.1216,0.134352,-421.73554,-421.727002,-421.726058,-421.769588,31.045
gdb_74063,NC1=CC(=O)C(C1)C#N,2.75752,1.3022,0.9503,8.3986,75.89,-0.2419,-0.0321,0.2099,1181.5343,0.113602,-416.869479,-416.861159,-416.860215,-416.9029,30.528
gdb_67604,CC12C3C4OC1C4CN23,2.71344,2.20004,1.68474,0.9955,72.86,-0.2229,0.0771,0.3,869.443,0.150295,-401.90832,-401.90189,-401.900945,-401.938765,27.065
gdb_37307,O1C2C1C1N=CN3C2C13,2.96897,2.36899,1.96225,3.1408,65.77,-0.2445,-0.0056,0.2389,753.7154,0.115653,-416.748196,-416.742622,-416.741678,-416.777846,23.648
gdb_91110,CC1CN2C3COC1C23,2.83438,1.81051,1.47444,0.2708,76.72,-0.2308,0.083,0.3138,970.3595,0.173943,-403.135484,-403.128261,-403.127317,-403.166923,29.392
